KEY,English,French,German,Spanish,Portuegese,Russian,Italian,Vietnamese,Korean,Japanese,Chinese,Thai,Turkish,Indonesian
IAP_REPAYMENT_SUCCESS,You get {0} Gem from previous purchase,Vous obtenez {0} gemmes pour l'achat précédent,Du erhältst {0} Edelstein(e) aus dem vorherigen Kauf,Obtienes {0} gemas por la compra anterior,Você ganhou {0} joia da compra anterior,Ты получаешь {0} самоцв. от предыдущей покупки,Ottieni {0} gemma per l'acquisto precedente,Bạn đã nhận {0} ngọc từ giao dịch trước,,,,คุณได้รับ {0} เพชรจากการซื้อครั้งก่อน,Önceki satın alma işleminden {0} Cevher aldın,Kamu mendapatkan {0} Permata dari pembelian sebelumnya
IAP_PAYMENT_SUCCESS,Thank you for your purchase! Total:{0} Gems.,Merci pour votre achat ! Total :{0} gemmes.,Danke für deinen Kauf! Insgesamt: {0} Edelsteine.,¡Gracias por tu compra! Total: {0} gemas.,Obrigado por sua compra! Total: {0} joias.,Спасибо за покупку! Всего самоцветов: {0}.,Grazie per l'acquisto! Totale:{0} gemme.,Cảm ơn bạn đã thanh toán! Tổng cộng {o} ngọc.,,,,ขอบคุณสำหรับการซื้อ! ทั้งหมด:{0} เพชร,Satın aldığın için teşekkürler! Toplam:{0} Cevher.,Terima kasih atas pembeliannya! Total:{0} Permata.
UNKNOWN_ERROR,Unknown Error. Please try again!,Erreur inconnue. Merci de réessayer !,Unbekannter Fehler. Bitte versuche es erneut!,Error desconocido. ¡Inténtalo de nuevo!,Erro desconhecido. Tente novamente!,Неизвестная ошибка. Попробуй снова!,Errore sconosciuto. Riprova!,Lỗi không rõ nguyên nhân. Xin hãy thử lại!,,,,ข้อผิดพลาดที่ไม่รู้จัก กรุณาลองอีกครั้ง!,Bilinmeyen Hata. Lütfen tekrar dene!,Kesalahan Tak Dikenal. Coba lagi!
ACCOUNT_BANNED,Your account has been banned for {0} days. Please contact arcadehuntergame@gmail.com if you have any question.,Votre compte a été banni {0} jours. Contactez arcadehuntergame@gmail.com si vous avez des questions.,Dein Konto wurde für {0} Tage verbannt. Bitte wende dich bei Fragen an arcadehuntergame@gmail.com,"Tu cuenta está suspendida durante {0} días. Si tienes alguna pregunta, escribe a arcadehuntergame@gmail.com",Sua conta foi banida por {0} dias. Contate arcadehuntergame@gmail.com caso tenha alguma pergunta.,"Твой аккаунт заблокирован на {0} д. Если у тебя есть вопросы, свяжись с нами по адресу arcadehuntergame@gmail.com",Il tuo account è stato bannato per {0} giorni. Per qualsiasi domanda puoi scrivere a arcadehuntergame@gmail.com,Tài khoản của bạn bị cấm bởi lý do {0}. Xin hãy liên hệ với arcadehuntergame@gmail.com nếu có thắc mắc,,,,บัญชีของคุณถูกระงับเป็นเวลา {0} วัน กรุณาติดต่อ arcadehuntergame@gmail.com หากมีคำถาม,Hesabınız {0} günlüğüne yasaklandı. Herhangi bir sorunuz varsa lütfen arcadehuntergame@gmail.com ile iletişime geçin.,Akunmu telah diblokir selama {0} hari. Hubungi arcadehuntergame@gmail.com jika kamu punya pertanyaan.
NotEnoughGold,Not enough Gold,Or insuffisant,Nicht genug Gold,Oro insuficiente,Ouro insuficiente,Недостаточно золота,,Không đủ Vàng,골드가 부족합니다,ゴールドが足りません,金币不足,ทองไม่เพียงพอ,Yetersiz Altın,Emas tidak cukup
NotEnoughGem,Not enough Gems,Gemmes insuffisantes,Nicht genug Juwelen,Gemas insuficientes,Joias insuficientes,Недостаточно самоцветов,,Không đủ Ngọc,보석이 부족합니다,ジェムが足りません,宝石不足,เพชรไม่เพียงพอ,Yetersiz Cevher,Permata tidak cukup
NotEnoughMaterial,Not enough Materials,Matériaux insuffisants,Nicht genug Materialien,Materiales insuficientes,Materiais insuficientes,Недостаточно материалов,,Không đủ Nguyên liệu,재료가 부족합니다,素材が足りません,材料不足,วัตถุดิบไม่เพียงพอ,Yetersiz Malzeme,Material tidak cukup
NotEnoughTheLuc,Not enough Hearts,Cœurs insuffisants,Nicht genug Herzen,Corazones insuficientes,Corações insuficientes,Недостаточно сердец,,Không đủ Tim,하트가 부족합니다,ハートが足りません,爱心不足,หัวใจไม่เพียงพอ,Yetersiz Kalp,Hati tidak cukup
Offer_NewOffer_Starter1_name,Starter Package,Pack de démarrage,Einsteigerpaket,Paquete inicial,Pacote iniciante,Набор новичка,,Gói khởi đầu,초보자 패키지,スターターパッケージ,新手套装,แพ็คเกจเริ่มต้น,Başlangıç Paketi,Paket Pemula
Offer_NewOffer_Starter2_name,Super Starter Package,Super pack de démarrage,Supereinsteigerpaket,Superpaquete inicial,Pacote superiniciante,Супернабор новичка,,Gói khởi đầu đặc biệt,슈퍼 초보자 패키지,スーパースターターパッケージ,超新手套装,แพ็คเกจเริ่มต้นพิเศษ,Süper Başlangıç Paketi,Paket Pemula Super
Offer_Chap3_Offer_1_name,Fireball Package,Pack de boule de feu,Feuerballpaket,Paquete de bola de fuego,Pacote bola de fogo,Набор огненного шара,,Gói quả cầu lửa,화염구 패키지,火の玉パッケージ,火球套装,แพ็คเกจบอลไฟ,Ateş Topu Paketi,Paket Bola Api
Offer_Chap4_Offer_1_name,Musketeer Package,Pack de mousquetaire,Musketierpaket,Paquete de mosquetero,Pacote mosqueteiro,Набор мушкетера,,Gói ngự lâm quân,머스커티어 패키지,銃士パッケージ,火枪手套装,แพ็คเกจพลปืน,Silahşor Paketi,Paket Musketir
Offer_Chap4_Offer_2_name,Desert Treasure,Trésor du Désert,Wüstenschatz,Tesoro del desierto,Tesouro do deserto,Сокровище Пустыни,,Gói hoang mạc,사막 보물,砂漠の宝,沙漠宝藏,สมบัติทะเลทราย,Çöl Hazinesi,Harta Gurun
Offer_Chap5_Offer_1_name,Rouge Package,Pack de renégat,Schurkenpaket,Paquete de pícaro,Pacote ladino,Набор разбойника,,Gói đạo chích,로그 패키지,ルージュパッケージ,流氓套装,แพ็คเกจโจร,Rouge Paketi,Paket Rouge
Offer_Chap5_Offer_2_name,Seaside Treasure,Trésor du Bord de mer,Küstenschatz,Tesoro del litoral,Tesouro do litoral,Сокровище Побережья,,Kho báu đại dương,바닷가 보물,海岸の宝,海滨宝藏,สมบัติชายทะเล,Deniz Kenarı Paketi,Harta Tepi Laut
Offer_Chap6_Offer_1_name,Legendary Equipment Package,Pack d'équipement légendaire,Legendäres Ausrüstungspaket,Paquete de equipamiento legendario,Pacote de equipamento lendário,Набор легендарного снаряжения,,Gói trang bị Huyền thoại,전설 장비 패키지,レジェンド装備パッケージ,传奇装备套装,แพ็คเกจอุปกรณ์เลเจนดารี,Efsanevi Ekipman Paketi,Paket Perlengkapan Legendaris
Offer_Chap6_Offer_2_name,Snowy Mountain Treasure,Trésor de la Montagne enneigée,Schatz des Verschneiten Bergs,Tesoro de la montaña nevada,Tesouro da montanha nevada,Сокровище Снежной горы,,Kho báu núi tuyết,눈 덮인 산 보물,雪山の宝,雪山宝藏,สมบัติภูเขาหิมะ,Karlı Dağ Hazinesi,Harta Gunung Bersalju
Offer_Chap7_Offer_1_name,Vampire Sword Package,Pack d'épée de vampire,Vampirschwert-Paket,Paquete de espada vampírica,Pacote espada do vampiro,Набор меча вампира,,Gói Ma cà rồng,흡혈귀 검 패키지,吸血鬼の剣パッケージ,吸血鬼之剑套装,แพ็คเกจดาบแวมไพร์,Vampir Kılıcı Paketi,Paket Pedang Vampir
Offer_Chap7_Offer_2_name,High Temple Treasure,Trésor de la Grand temple,Schatz des Hoher Tempel,Tesoro de la alto templo,Tesouro da templo elevado,Сокровище Высокий храм,,Kho báu khu rừng tối,고지대 사원 보물,崇高な神殿の宝,高庙宝藏,สมบัติวิหารสูง,Yüksek Tapınak Hazinesi,Harta Kuil Tinggi
Offer_Chap8_Offer_1_name,Djinn Hat Package,Pack de chapeau de djinn,Dschinnhut-Paket,Paquete de sombrero de genio,Pacote chapéu do Djinn,Набор шляпы Джинна,,Gói Thần đèn,진 모자 패키지,ジンの帽子パッケージ,巨灵帽套装,แพ็คเกจหมวกจิน,Cin Şapkası Paketi,Paket Topi Djinn
Offer_Chap8_Offer_2_name,Dark Forest Treasure,Trésor de la Forêt sombre,Schatz des Dunklen Waldes,Tesoro del bosque oscuro,Tesouro da floresta negra,Сокровище Темного леса,,Gói rừng sâu tăm tối,어둠 숲 보물,暗黒の森の宝,黑暗森林宝藏,สมบัติป่ามืด,Karanlık Orman Hazinesi,Harta Hutan Gelap
Offer_Chap9_Offer_1_name,Seraph Suit Package,Pack de combinaison de séraphin,Engelsanzug-Paket,Paquete de atuendo de serafín,Pacote traje seráfico,Набор костюма серафима,,Gói thiên thần,세라프 슈트 패키지,天使の服パッケージ,六翼天使服饰套装,แพ็คเกจชุดเซราฟ,Melek Kıyafeti Paketi,Paket Setelan Bidadari
Offer_Chap9_Offer_2_name,Graveyard Treasure,Trésor du Cimetière,Friedhofsschatz,Tesoro del cementerio,Tesouro do cemitério,Сокровище Кладбища,,Gói nghĩa địa u ám,묘지 보물,墓場の宝,墓地宝藏,สมบัติสุสาน,Mezarlık Hazinesi,Harta Kuburan
Offer_Chap9_Offer_3_name,Infernal Gloves Package,Pack de Gants infernaux,Höllenhandschuhpaket,Paquete de guantes infernales,Pacote luvas infernais,Набор адских перчаток,,Gói lửa địa ngục,지옥 글러브 패키지,地獄のグローブパッケージ,地狱手套套装,แพ็คเกจถุงมือไฟนรก,Cehennem Eldiveni Paketi,Paket Sarung Tangan Infernal
Offer_Chap10_Offer_1_name,Serpent Staff Package,Pack de bâton de serpent,Schlangenstab-Paket,Paquete de bastón de serpiente,Pacote Cajado de Serpente,Набор Змеиного посоха,,Gói gậy rắn,뱀 지팡이 패키지,海蛇の杖パッケージ,毒蛇法杖套装,แพ็คเกจไม้เท้าอสรพิษ,Yılan Asa Paketi,Paket Tongkat Ular
Offer_Chap10_Offer_2_name,Cave Treasure,Trésor de la grotte,Höhlenschatz,Tesoro de la cueva,Tesouro da caverna,Сокровище Пещеры,,Kho báu hang hoảng hốt,동굴 보물,洞窟の宝,洞穴宝藏,สมบัติถ้ำ,Mağara Hazinesi,Harta Gua
Offer_Chap11_Offer_1_name,Shipwreck Treasure,Trésor de l'épave,Schiffswrackschatz,Tesoro del naufragio,Tesouro do naufrágio,Сокровище Кораблекрушения,,Kho báu con tàu đắm,난파선 보물,難破船の宝,沉船宝藏,สมบัติซากเรือ,Gemi Enkazı Hazinesi,Harta Bangkai Kapal
Offer_Chap11_Offer_2_name,Shipwreck equipment pack,Pack d'équipement de l'épave,Schiffswrack-Ausrüstungspaket,Paquete de equipamiento del naufragio,Pacote de equipamentos do naufrágio,Набор снаряжения Кораблекрушения,,Gói trang bị trong con tàu đắm,난파선 장비 팩,難破船装備パック,沉船设备包,แพ็คอุปกรณ์ซากเรือ,Gemi Enkazı ekipman paketi,Paket perlengkapan Bangkai Kapal
UPDATE_1_3,,,,,,,,,,,,,,
reach_limit_ads,Watched all ads for today,Pubs du jour déjà visionnées,Alle Werbeclips für heute angesehen,Hoy ya has visto todos los anuncios,Assistiu a todos os anúncios de hoje,Сегодня вся реклама просмотрена,,Đã xem hết quảng cáo cho ngày hôm nay,오늘의 광고를 모두 시청했습니다,今日の広告はすべて視聴されました,观看了今天的所有广告,ดูโฆษณาวันนี้ครบแล้ว,Bugün için tüm reklamlar izlendi,Telah menonton semua iklan hari ini
welcome_mail_content,Welcome to Arcade Hunter!!,Bienvenue sur Arcade Hunter !,Willkommen zu Arcade Hunter!,¡Te damos la bienvenida a Arcade Hunter!,Bem-vindo(a) ao Arcade Hunter!!,Добро пожаловать в Arcade Hunter!,,Chào mừng gia nhập Arcade Hunter!!,아케이드 헌터 에 오신 것을 환영해요!,アーケードハンター にようこそ！！,欢迎游玩《拱廊猎人》！！,ยินดีต้อนรับสู่ Arcade Hunter!!,Arcade Hunter'a Hoş Geldin!!,Selamat datang di Arcade Hunter!!
HackedBattle,Invalid Battle Result! The result has been dismissed.,Résultats du combat invalides ! Les résultats ont été annulés.,Ungültiges Kampfergebnis! Das Ergebnis wurde verworfen.,El resultado de la batalla ha sido invalidado.,Resultado de batalha inválido! O resultado foi descartado.,Недействительный результат битвы! Результат сброшен.,,Trận đánh không hợp lý! Kết quả sẽ bị hủy,잘못된 배틀 결과입니다! 본 결과는 무효 처리되었습니다.,戦闘結果が無効です！この結果は破棄されます。,战斗结果无效！结果已撤销。,ผลการต่อสู้ไม่ถูกต้อง! ผลลัพธ์โดนลบแล้ว,Geçersiz Savaş Sonucu! Sonuç kabul edilmedi.,Hasil Pertempuran tidak valid! Hasil telah diabaikan.
firstaid_mail_content,Collect the new hunter package!,Récupérez le nouveau pack de chasseur !,Sammle das neue Jägerpaket!,¡Consigue el paquete de nuevo cazador!,Colete o novo pacote caçador!,Получи новый набор охотника!,,Nhận gói hỗ trợ tân thủ,새 사냥꾼 패키지를 가져가세요!,新ハンターパッケージを集めよう！,收集新猎人包！,เก็บแพ็คเกจนักล่ามือใหม่!,Yeni avcı paketini topla!,Ambil paket pemburu yang baru!
welcome_mail_content_theluc,Run out of heart? Take the first aid kit and continue your battle !,Vous manquez de cœurs ? Prenez le kit de premiers soins et continuez votre combat !,Keine Herzen mehr? Verwende einen Verbandskasten und kämpfe weiter!,¿Te has quedado sin corazones? ¡Usa un botiquín y sigue luchando!,Está sem corações? Pegue o kit de primeiros socorros e continue sua batalha!,Кончились сердца? Возьми аптечку и продолжи битву!,,Hết tim? Nhận ngay gói hỗ trợ này và tiếp tục chiến đấu !,하트를 다 썼나요? 구급 상자를 사용해 배틀을 계속하세요!,ハートがなくなった？救急箱を手にして戦闘を続けよう！,爱心不足？使用急救箱，继续战斗！,หัวใจหมดเหรอ? ใช้ชุดปฐมพยาบาลนี้เพื่อทำการต่อสู้ต่อสิ!,Kalpler tükendi mi? İlk yardım çantasını al ve savaşa devam et!,Kehabisan hati? Ambil kit pertolongan pertama dan lanjutkan pertempuranmu!
UPDATE_1_4,,,,,,,,,,,,,,
Offer_Daily_Offer_Free_name,Free supply pack,Pack de ressources gratuit,Gratis-Versorgungspaket,Paquete de suministros gratis,Pacote de suprimentos grátis,Бесплатный набор припасов,,Gói miễn phí,무료 자원 팩,フリー補給パック,免费补给包,แพ็คเสบียงฟรี,Ücretsiz kaynak paketi,Paket suplai gratis
Offer_Daily_Offer_Gold_name,Gold pack,Pack d'or,Goldpaket,Paquete de oro,Pacote de ouro,Золотой набор,,Gói vàng,골드 팩,ゴールドパック,金币包,แพ็คทอง,Altın paket,Paket emas
Offer_Daily_Offer_BigGold_name,Big gold pack,Gros pack d'or,Großes Goldpaket,Paquete de oro grande,Pacote grande de ouro,Большой золотой набор,,Gói vàng lớn,빅 골드 팩,ビッグゴールドパック,大金币包,แพ็คทองใหญ่,Büyük altın paketi,Paket emas besar
Offer_Daily_Offer_VuKhi_name,Weapon Runestone pack,Pack de pierre runique d'arme,Waffenrunenstein-Paket,Paquete de piedra rúnica de arma,Pacote de pedra rúnica de arma,Набор рунных камней оружия,,Gói đá vũ khí,무기 룬스톤 팩,武器のルーン石パック,武器符石包,แพ็คหินรูนอาวุธ,Silah Run Taşı paketi,Paket Senjata Batu Rune
Offer_Daily_Offer_Mu_name,Headgear Runestone pack,Pack de pierre runique de couvre-chef,Kopfrunenstein-Paket,Paquete de piedra rúnica de cabeza,Pacote de pedra rúnica de acessório de cabeça,Набор рунных камней шлема,,Gói đá mũ,헤드기어 룬스톤 팩,頭装備のルーン石パック,头部装备符石包,แพ็คหินรูนหมวก,Kafalık Run Taşı paketi,Paket Penutup Kepala Batu Rune
Offer_Daily_Offer_Giap_name,Armor Runestone pack,Pack de pierre runique d'armure,Rüstungsrunenstein-Paket,Paquete de piedra rúnica de armadura,Pacote de pedra rúnica de armadura,Набор рунных камней брони,,Gói đá giáp,아머 룬스톤 팩,アーマーのルーン石パック,铠甲符石包,แพ็คหินรูนเกราะ,Zırh Run Taşı paketi,Paket Armor Batu Rune
Offer_Daily_Offer_OffHand_name,Off-hand Runestone pack,Pack de pierre runique d'arme secondaire,Nebenhandrunenstein-Paket,Paquete de piedra rúnica secundaria,Pacote de pedra rúnica de mão secundária,Набор рунных камней вспомогательного оружия,,Gói đá phụ kiện,오프핸드 룬스톤 팩,サブ装備のルーン石パック,副手装备符石包,แพ็คหินรูนมือรอง,İkincil Silah Run Taşı paketi,Paket Off-hand Batu Rune
Offer_H_Graves_Offer_name,Rix,Rix,Rix,Rix,Rix,Рикс,,Rix,릭스,リックス,里克斯,ริกซ์,Rix,Rix
Offer_H_BeastMaster_Offer_name,Fhasys,Fhasys,Fhasys,Fhasys,Fhasys,Фазис,,Fhasys,파시스,ファシス,费西斯,ฟาซิส,Fhasys,Fhasys
Offer_H_Paladin_Offer_name,Alvin,Alvin,Alvin,Alvin,Alvin,Элвин,,Alvin,앨빈,アルビン,艾尔文,อัลวิน,Alvin,Alvin
UPDATE_1_6,,,,,,,,,,,,,,
LeoThapJoinTimeLimit,Endless Tower will be open in {0:00} minutes,La Tour infinie ouvrira ses portes dans {0:00} minutes,Der endlose Turm öffnet in {0:00} Minuten.,La torre eterna se abrirá en {0:00} min.,A torre infinita vai abrir em {0:00} minutos.,Бесконечная башня откроется через {0:00} мин.,,Leo Tháp sẽ mở sau {0:00} phút,무한의 탑이 {0:00}분 후에 열릴 예정입니다,無限タワーは{0:00}分後に開きます,无尽之塔将于{0:00}分钟后开放,หอคอยไร้สิ้นสุดจะเปิดในอีก {0:00} นาที,"Sonsuz Kule, {0:00} dakika içinde açılacak",Menara Tak Berujung akan terbuka dalam {0:00} menit
LeoThapPlayTimeLimit,Endless tower will be lock {0} hour(s) before ending time,La Tour infinie sera verrouillée pendant {0} heure(s) avant la fin du décompte,Der endlose Turm kann {0} Stunde(n) vor Ablauf der Zeit nicht mehr gestartet werden.,La torre eterna se cerrará {0} h antes de la hora de finalización.,A torre infinita será bloqueada {0} hora(s) antes do horário de encerramento.,Бесконечная башня будет заблокирована в течение {0} ч. до окончания,,Leo Tháp sẽ bị khóa trong {0} giờ trước khi hết giờ,종료 시각 {0}시간 전에 무한의 탑이 잠깁니다,無限タワーは終了時間まで{0}時間ロックされます,无尽之塔将于活动结束前的{0}小时内锁定,หอคอยไร้สิ้นสุดจะปิดเป็นเวลา {0} ชั่วโมงก่อนหมดเวลา,"Sonsuz Kule, bitiş süresinden {0} saat önce kilitlenecek",Menara Tak Berujung akan terkunci {0} jam sebelum waktu berakhir
UserNamePolicy,The name must contains only printable characters and can not exceed 15 characters in length,Le nom doit contenir uniquement des caractères imprimables et ne peut pas dépasser 15 caractères,Der Name muss aus druckbaren Zeichen bestehen und nicht mehr als 15 Zeichen lang sein.,El nombre solo puede contener caracteres válidos. Longitud máxima: 15 caracteres.,O nome deve conter apenas caracteres alfanuméricos e não pode ter mais de 15 caracteres.,Имя должно содержать только печатные символы (не более 15),,Tên không được dài quá 15 kí tự và không chứa kí tự đặc biệt,이름에는 문자만 포함되어야 하며 15자를 초과해서는 안 됩니다,名前に使えるのは半角英数字および記号のみで、長さは15文字未満です,名字必须只包含可打印字符，长度不超过15个字符,ชื่อต้องเป็นตัวอักษรที่อนุญาตให้ใช้และยาวไม่เกิน 15 ตัวอักษร,İsim sadece yazdırılabilir karakterler içermelidir ve uzunluğu 15 karakteri aşmamalıdır.,Nama harus berisi karakter yang bisa ditulis dan tidak boleh lebih dari 15 karakter
Offer_Chap12_Offer_1_name,Grassland Treasure,Trésor de l'prairie,Wieseschatz,Tesoro del pradera,Tesouro do prado,Сокровище Луговые угодья,,Kho báu bình nguyên,초원 보물,草原の宝,绿地宝藏,สมบัติทุ่งหญ้า,Çayır Hazinesi,Harta Padang Rumput
Offer_Chap12_Offer_2_name,Grassland equipment pack,Pack d'équipement de l'prairie,Wiese-Ausrüstungspaket,Paquete de equipamiento del pradera,Pacote de equipamentos do prado,Набор снаряжения Луговые угодья,,Gói trang bị trên bình nguyên,초원 장비 팩,草原装備パック,绿地设备包,แพ็คอุปกรณ์ทุ่งหญ้า,Çayır ekipman paketi,Paket perlengkapan Padang Rumput
Offer_Chap13_Offer_1_name,Crystal Forest equipment pack,Pack d'équipement de l'forêt de cristal,Kristallwald-Ausrüstungspaket,Paquete de equipamiento del bosque de cristal,Pacote de equipamentos do floresta de cristal,Набор снаряжения Кристальный лес,,Gói trang bị trong rừng pha lê,수정 숲 장비 팩,水晶の森装備パック,水晶森林设备包,แพ็คอุปกรณ์ป่าคริสตัล,Kristal Orman ekipman paketi,Paket perlengkapan Hutan Kristal
Offer_Chap14_Offer_1_name,Kingdom equipment pack,Pack d'équipement de l'royaume,Königreich-Ausrüstungspaket,Paquete de equipamiento del el reino,Pacote de equipamentos do el reino,Набор снаряжения королевство,,Gói trang bị trong vương quốc,왕국 장비 팩,王国装備パック,王国设备包,แพ็คอุปกรณ์อาณาจักร,Krallık ekipman paketi,Paket perlengkapan Kerajaan
Offer_Chap15_Offer_1_name,Pumpkin Farm equipment pack,Pack d'équipement de l'ferme aux citrouilles,Kürbisfarm-Ausrüstungspaket,Paquete de equipamiento del granja de calabazas,Pacote de equipamentos do el fazenda de abóboras,Набор снаряжения Тыквенная ферма,,Gói trang bị trang trại bí ngô,호박 농장 장비 팩,カボチャ農場装備パック,南瓜农场设备包,แพ็คอุปกรณ์ไร่ฟักทอง,Balkabağı Çiftliği ekipman paketi,Paket perlengkapan Ladang Labu
UPDATE_1_7,,,,,,,,,,,,,,
Offer_H_Thor_Offer_name,Thor,Thor,Thor,Thor,Thor,Тор,,Thor,토르,ソー,雷神,ธอร์,Thor,Thor
Offer_H_Wukong_Offer_name,Wukong,Wukong,Wukong,Wukong,Wukong,Укун,,Ngộ Không,오공,悟空,悟空,หงอคง,Wukong,Wukong
Offer_H_Magician_Offer_name,Valeska,Valeska,Valeska,Valeska,Valeska,Валеска,,Valeska,발레스카,ファレスカ,威尔斯凯,วาเลสกา,Valeska,Valeska
Offer_Chap15_Offer_2_name,Pumpkin Treasure,Trésor de citrouille,Kürbisschatz,Tesoro calabacero,Tesouro de abóboras,Тыквенное сокровище,,Kho báu bí ngô,호박 보물,カボチャの宝,南瓜宝藏,สมบัติฟักทอง,Balkabağı Hazinesi,Harta Labu
Offer_Chap16_Offer_1_name,Dark Fortress Pack,Pack Forteresse sombre,„Dunkle Festung“-Paket,Paquete de la fortaleza oscura,Pacote da fortaleza negra,Набор Темной крепости,,Gói Pháo đài đen,어둠 요새 팩,暗黒要塞パック,黑暗要塞包,แพ็คป้อมปราการมืด,Karanlık Kale Paketi,Paket Benteng Gelap
Offer_Chap17_Offer_1_name,Skypiea Pack,Pack Skypiea,Skypiea-Paket,Paquete de Skypiea,Pacote de Skypiea,Набор Скайпии,,Gói Skypiea,스카이피아 팩,スカイピアパック,空岛包,แพ็คสกายเปีย,Skypiea Paketi,Paket Skypiea
Offer_Chap17_Offer_2_name,Skypiea Treasure,Trésor de Skypiea,Skypiea-Schatz,Tesoro de Skypiea,Tesouro de Skypiea,Сокровище Скайпии,,Kho báu Skypiea,스카이피아 보물,スカイピアの宝,空岛宝藏,สมบัติสกายเปีย,Skypiea Hazinesi,Harta Skypiea
UPDATE_1_8_2,,,,,,,,,,,,,,
premium_daily_reward_mail_content_theluc,Daily reward for Premium Membership,Récompense quotidienne d'abonnement Premium,Tägliche Belohnung für Premium-Mitgliedschaft,Recompensa diaria por cuenta premium,Recompensa diária da Assinatura Premium,Ежедневная награда за премиум-подписку,,Quà tặng hàng ngày cho thành viên bạch kim,프리미엄 멤버십을 위한 일일 보상,プレミアムメンバーシップのデイリー報酬,高级会员每日奖励,รางวัลประจำวันสำหรับสมาชิกพรีเมียม,Premium Üyelik için günlük ödül,Hadiah harian untuk Anggota Premium
